pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,841.92
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,841.91
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,843.21
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,843.69
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,843.86
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,843.11
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,842.72
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,841.92
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,841.91
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,843.21
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,843.69
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,843.86
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,843.11
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,842.72
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,841.92
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,841.91
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,843.21
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,843.69
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,843.86
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,843.11
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,842.72
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,841.92
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,841.91
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,843.21
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,843.69
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,843.86
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,843.11
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,842.72
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,841.92
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,841.91
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,843.21
